COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Peru,PER,AMRO,REPORTING,2021-05-28,3452439,2403842,10.471,7.291,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,4
Libya,LBY,EMRO,REPORTING,2021-05-10,106559,106559,1.551,1.551,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-04-11,6
Martinique,MTQ,AMRO,REPORTING,2021-05-28,68822,43557,18.34,11.607,,,
Uganda,UGA,AFRO,REPORTING,2021-05-31,604748,604748,1.322,1.322,SII - Covishield,2021-03-10,1
Anguilla,AIA,AMRO,REPORTING,2021-05-28,14443,9004,96.274,60.019,AstraZeneca - AZD1222,2021-02-05,1
Somalia,SOM,EMRO,REPORTING,2021-05-31,134133,129419,0.844,0.814,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-03-16,3
Sao Tome and Principe,STP,AFRO,REPORTING,2021-05-31,18888,12374,8.618,5.646,"AstraZeneca - AZD1222,SII - Covishield",2021-03-15,2
Slovakia,SVK,EURO,REPORTING,2021-05-23,2332475,1577975,42.7,28.912,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Norway,NOR,EURO,REPORTING,2021-05-23,2263189,1564876,42.2,29.154,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-03-31,4
Mauritania,MRT,AFRO,REPORTING,2021-05-31,37331,30561,0.803,0.657,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-26,2
Puerto Rico,PRI,AMRO,REPORTING,2021-05-28,2631464,1566958,91.982,54.772,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3
Brunei Darussalam,BRN,WPRO,REPORTING,2021-05-06,14876,14526,3.4,3.32,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5
Estonia,EST,EURO,REPORTING,2021-05-23,605534,417653,45.6,31.427,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Kenya,KEN,AFRO,REPORTING,2021-05-31,969561,969114,1.803,1.802,SII - Covishield,2021-03-05,1
Jamaica,JAM,AMRO,REPORTING,2021-05-28,174230,154010,5.884,5.201,"AstraZeneca - AZD1222,SII - Covishield",2021-03-10,2
Barbados,BRB,AMRO,REPORTING,2021-05-28,133214,76523,46.355,26.628,"AstraZeneca - AZD1222,SII - Covishield",2021-02-10,2
Djibouti,DJI,EMRO,REPORTING,2021-05-24,14943,12547,1.512,1.27,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-03-15,3
Mozambique,MOZ,AFRO,REPORTING,2021-05-31,394312,319511,1.262,1.022,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-08,2
India,IND,SEARO,REPORTING,2021-05-25,200494991,156999310,14.529,11.377,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-16,3
Curaçao,CUW,AMRO,REPORTING,2021-05-28,149440,83781,91.07,51.057,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-24,3
Ethiopia,ETH,AFRO,REPORTING,2021-05-31,1813739,1813739,1.578,1.578,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-03-13,3
Lithuania,LTU,EURO,REPORTING,2021-05-23,1413464,913510,50.6,32.694,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
British Virgin Islands,VGB,AMRO,REPORTING,2021-05-28,16302,11553,53.914,38.208,AstraZeneca - AZD1222,2021-02-11,1
New Zealand,NZL,WPRO,REPORTING,2021-05-17,449563,305298,9.323,6.331,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-19,4
Germany,DEU,EURO,REPORTING,2021-05-23,45234397,33495559,54.4,40.275,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Syrian Arab Republic,SYR,EMRO,REPORTING,2021-05-27,24781,24781,0.142,0.142,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-04-01,3
Czechia,CZE,EURO,REPORTING,2021-05-23,4691786,3477473,43.9,32.518,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Tunisia,TUN,EMRO,REPORTING,2021-05-24,808892,542084,6.844,4.587,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,4
Morocco,MAR,EMRO,REPORTING,2021-05-24,12467071,7635674,33.776,20.687,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",2021-01-28,4
Greenland,GRL,EURO,OWID,2021-05-12,15308,9715,26.964,17.112,Pfizer BioNTech - Comirnaty,,1
Tajikistan,TJK,EURO,REPORTING,2021-05-23,74403,74403,0.8,0.78,"AstraZeneca - AZD1222,SII - Covishield",2021-03-24,2
Suriname,SUR,AMRO,REPORTING,2021-05-28,78542,66623,13.389,11.357,"AstraZeneca - AZD1222,SII - Covishield",2021-02-23,2
Romania,ROU,EURO,REPORTING,2021-05-23,7399892,4141209,38.3,21.425,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-27,4
Isle of Man,IMN,EURO,OWID,2021-05-12,76977,61081,90.527,71.833,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Netherlands,NLD,EURO,REPORTING,2021-05-23,8601580,6154940,49.4,35.358,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,4
Guatemala,GTM,AMRO,REPORTING,2021-05-28,429959,385620,2.4,2.152,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",2021-02-25,4
Cuba,CUB,AMRO,REPORTING,2021-05-28,798655,798655,7.051,7.051,"Abdala, Soberana02",,2
Grenada,GRD,AMRO,REPORTING,2021-05-28,25544,17344,22.701,15.414,"AstraZeneca - AZD1222,SII - Covishield",2021-02-15,2
American Samoa,ASM,WPRO,REPORTING,2021-05-18,39867,22120,72.227,40.075,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Serbia,SRB,EURO,REPORTING,2021-05-16,4025154,2277419,58.1,32.879,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-05-28,36170,20760,93.419,53.618,Pfizer BioNTech - Comirnaty,2021-01-11,1
Uzbekistan,UZB,EURO,REPORTING,2021-05-23,486992,153754,1.5,0.459,"Anhui ZL - Recombinant,Gamaleya - Sputnik V,SII - Covishield",2021-05-12,3
Philippines,PHL,WPRO,REPORTING,2021-05-17,2778677,2116945,2.536,1.932,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,9
Ecuador,ECU,AMRO,REPORTING,2021-05-28,2025046,1509764,11.478,8.557,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,3
Thailand,THA,SEARO,REPORTING,2021-05-24,3024313,2044123,4.333,2.929,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4
Marshall Islands,MHL,WPRO,REPORTING,2021-05-18,28615,15550,48.341,26.27,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-29,3
Botswana,BWA,AFRO,REPORTING,2021-05-31,54620,54620,2.323,2.323,SII - Covishield,2021-03-26,1
Rwanda,RWA,AFRO,REPORTING,2021-05-31,400096,350400,3.089,2.705,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3
Mauritius,MUS,AFRO,REPORTING,2021-05-31,400801,232673,31.515,18.295,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-01-26,3
Lesotho,LSO,AFRO,REPORTING,2021-05-31,36637,36637,1.71,1.71,SII - Covishield,2021-03-10,1
Belarus,BLR,EURO,REPORTING,2021-05-23,710922,438620,7.5,4.642,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-02-03,2
Bahrain,BHR,EMRO,OWID,2021-05-12,1434023,821210,84.276,48.262,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
Panama,PAN,AMRO,REPORTING,2021-05-28,959588,611280,22.24,14.167,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Latvia,LVA,EURO,REPORTING,2021-05-16,475548,363572,24.9,19.058,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Japan,JPN,WPRO,REPORTING,2021-05-16,5593436,4027333,4.423,3.184,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-17,4
Armenia,ARM,EURO,OWID,2021-05-23,26562,26562,0.9,0.896,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Russian Federation,RUS,EURO,OWID,2021-05-30,26472510,15360666,18.1,10.526,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2
Seychelles,SYC,AFRO,REPORTING,2021-05-31,116957,66433,118.923,67.55,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Ghana,GHA,AFRO,REPORTING,2021-05-31,1228216,852047,3.953,2.742,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Azerbaijan,AZE,EURO,REPORTING,2021-05-16,1798509,1031820,17.7,10.177,"AstraZeneca - AZD1222,Sinovac - CoronaVac",2021-01-20,2
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2021-05-15,582747,493481,8.01,6.783,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-11-25,5
Saint Helena,SHN,AFRO,OWID,2021-04-09,4572,3563,75.309,58.689,AstraZeneca - AZD1222,,1
Nicaragua,NIC,AMRO,REPORTING,2021-05-28,167500,167500,2.528,2.528,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2
Mali,MLI,AFRO,REPORTING,2021-05-31,127042,93580,0.627,0.462,SII - Covishield,2021-03-31,1
Portugal,PRT,EURO,REPORTING,2021-05-23,5236432,3581746,50.9,34.789,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
El Salvador,SLV,AMRO,REPORTING,2021-05-28,1832228,1118980,28.248,17.252,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,4
Kuwait,KWT,EMRO,REPORTING,2021-04-28,1120000,,26.226,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2020-12-28,3
France,FRA,EURO,REPORTING,2021-05-23,33002800,23094566,49,34.306,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Belize,BLZ,AMRO,REPORTING,2021-05-28,73040,62260,18.369,15.658,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-01,3
Tuvalu,TUV,WPRO,REPORTING,2021-04-30,2344,2344,19.878,19.878,AstraZeneca - AZD1222,2021-04-13,1
Indonesia,IDN,SEARO,REPORTING,2021-05-25,25455786,15330306,9.307,5.605,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Sinovac - CoronaVac",2021-01-13,3
Gibraltar,GIB,EURO,OWID,2021-05-08,74256,38727,220.403,114.948,Pfizer BioNTech - Comirnaty,,1
Poland,POL,EURO,REPORTING,2021-05-23,18375458,12768090,48.4,33.637,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Solomon Islands,SLB,WPRO,REPORTING,2021-05-14,11536,11536,1.679,1.679,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-23,2
Spain,ESP,EURO,REPORTING,2021-05-23,24920526,16761234,52.6,35.412,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Ireland,IRL,EURO,REPORTING,2021-05-23,2349207,1734234,47.3,34.933,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Sri Lanka,LKA,SEARO,REPORTING,2021-05-24,1797413,1456485,8.394,6.802,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-29,3
Niger,NER,AFRO,REPORTING,2021-05-31,159525,152582,0.659,0.63,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-29,2
Malaysia,MYS,WPRO,REPORTING,2021-05-17,1914554,1182244,5.915,3.653,"AstraZeneca - AZD1222,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,5
Côte d’Ivoire,CIV,AFRO,REPORTING,2021-05-31,543100,485729,2.059,1.841,"Gamaleya - Sputnik V,SII - Covishield",2021-03-01,2
Turkmenistan,TKM,EURO,REPORTING,2021-04-04,41993,32240,0.7,0.535,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",2021-03-31,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-05-28,230000,,0.809,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-13,3
Nauru,NRU,WPRO,REPORTING,2021-05-18,7438,7438,68.654,68.654,"AstraZeneca - AZD1222,SII - Covishield",2021-04-09,2
Mongolia,MNG,WPRO,REPORTING,2021-05-15,2388063,1750674,72.845,53.402,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6
New Caledonia,NCL,WPRO,REPORTING,2021-05-05,67755,41364,23.732,14.488,Pfizer BioNTech - Comirnaty,2021-01-20,1
Montserrat,MSR,AMRO,REPORTING,2021-05-28,2522,1358,50.45,27.165,AstraZeneca - AZD1222,2021-02-08,1
Singapore,SGP,WPRO,REPORTING,2021-05-10,3137330,1852684,53.626,31.668,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Cyprus,CYP,EURO,REPORTING,2021-05-23,508117,342417,57.2,38.56,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Switzerland,CHE,EURO,OWID,2021-05-26,4273869,2772205,49.4,32.032,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
North Macedonia,MKD,EURO,REPORTING,2021-05-23,264532,225265,12.7,10.812,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-17,5
Bhutan,BTN,SEARO,REPORTING,2021-05-24,482578,482578,62.542,62.542,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,2
Jersey,JEY,EURO,OWID,2021-05-05,90671,53044,84.114,49.208,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Georgia,GEO,EURO,REPORTING,2021-05-23,110058,92477,2.8,2.318,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty",2021-03-17,3
Guernsey,GGY,EURO,OWID,2021-04-21,54673,,84.806,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Republic of Korea,KOR,WPRO,REPORTING,2021-05-17,4674151,,9.117,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-26,5
Greece,GRC,EURO,REPORTING,2021-05-23,4985143,3195971,46.5,29.817,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Nepal,NPL,SEARO,REPORTING,2021-05-24,2666669,2113080,9.152,7.252,"Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-27,4
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2
Central African Republic,CAF,AFRO,REPORTING,2021-05-31,18408,17691,0.381,0.366,"Bharat - Covaxin,SII - Covishield",2021-03-19,2
Guinea,GIN,AFRO,REPORTING,2021-05-31,339177,252098,2.583,1.92,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6
Israel,ISR,EURO,REPORTING,2021-05-16,10514201,5431172,121.5,62.748,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-16,2
Kosovo,XKX,EURO,OWID,2021-05-20,55237,55237,3.1,3.076,,,
United States of America,USA,AMRO,REPORTING,2021-05-28,294270594,170398976,88.903,51.48,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3
South Sudan,SSD,AFRO,REPORTING,2021-05-31,9744,9744,0.087,0.087,SII - Covishield,2021-04-06,1
